comparison,left_condition,right_condition,subset,metric,n_pairs,left_mean,right_mean,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,permutation_method,wilcoxon_statistic,wilcoxon_p_value
multi_turn_minus_direct,direct,multi_turn,both_refusal,geometric_mean_token_probability,8,0.8946137536,0.8625374210,-0.0320763326,-0.0330945468,-0.0541815708,-0.0072348783,0.0546875000,exact_sign_flip,6.0000000000,0.1093750000
multi_turn_minus_direct,direct,multi_turn,both_refusal,perplexity,8,1.1182364382,1.1605004402,0.0422640020,0.0427192741,0.0104721587,0.0715368866,0.0468750000,exact_sign_flip,5.0000000000,0.0781250000
multi_turn_minus_direct,direct,multi_turn,both_refusal,mean_first_8_token_logprob,8,-0.0993210932,-0.1105361250,-0.0112150318,-0.0051323180,-0.0565785697,0.0323833554,0.6406250000,exact_sign_flip,15.0000000000,0.7421875000
multi_turn_minus_direct,direct,multi_turn,both_refusal,mean_first_16_token_logprob,8,-0.0906300409,-0.1080441884,-0.0174141475,-0.0041884335,-0.0586063896,0.0218891966,0.4218750000,exact_sign_flip,12.0000000000,0.4609375000
multi_turn_minus_direct,direct,multi_turn,both_refusal,mean_first_32_token_logprob,8,-0.1133909658,-0.1406643376,-0.0272733718,-0.0157567137,-0.0644157617,0.0121957413,0.2187500000,exact_sign_flip,7.0000000000,0.1484375000
multi_turn_minus_direct,direct,multi_turn,both_refusal,mean_token_entropy,8,0.2362534817,0.3092048502,0.0729513685,0.0729407996,0.0221249384,0.1252738602,0.0468750000,exact_sign_flip,5.0000000000,0.0781250000
multi_turn_minus_direct,direct,multi_turn,both_refusal,mean_top1_top2_probability_margin,8,0.8477342620,0.8081212011,-0.0396130609,-0.0425855425,-0.0678609849,-0.0047074384,0.0625000000,exact_sign_flip,6.0000000000,0.1093750000
multi_turn_minus_direct,direct,multi_turn,both_unsafe,mean_token_logprob,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,both_unsafe,geometric_mean_token_probability,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,both_unsafe,perplexity,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,both_unsafe,mean_first_8_token_logprob,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,both_unsafe,mean_first_16_token_logprob,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,both_unsafe,mean_first_32_token_logprob,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,both_unsafe,mean_token_entropy,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,both_unsafe,mean_top1_top2_probability_margin,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,either_length,mean_token_logprob,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,either_length,geometric_mean_token_probability,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,either_length,perplexity,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,either_length,mean_first_8_token_logprob,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,either_length,mean_first_16_token_logprob,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,either_length,mean_first_32_token_logprob,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,either_length,mean_token_entropy,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,either_length,mean_top1_top2_probability_margin,0,,,,,,,,,,
multi_turn_minus_direct,direct,multi_turn,both_non_length,mean_token_logprob,20,-0.1624892944,-0.1815948640,-0.0191055696,-0.0223508648,-0.0462377972,0.0077866745,0.1923161537,monte_carlo_sign_flip,76.0000000000,0.2942523956
multi_turn_minus_direct,direct,multi_turn,both_non_length,geometric_mean_token_probability,20,0.8527127619,0.8361979894,-0.0165147725,-0.0199130096,-0.0394144806,0.0055817378,0.1798764025,monte_carlo_sign_flip,76.0000000000,0.2942523956
multi_turn_minus_direct,direct,multi_turn,both_non_length,perplexity,20,1.1806276551,1.2025197007,0.0218920456,0.0250905520,-0.0109822464,0.0548942160,0.2171756565,monte_carlo_sign_flip,76.0000000000,0.2942523956
multi_turn_minus_direct,direct,multi_turn,both_non_length,mean_first_8_token_logprob,20,-0.1429454810,-0.1345569766,0.0083885044,-0.0029455232,-0.0523944797,0.0768550723,0.8155036899,monte_carlo_sign_flip,101.0000000000,0.8983173370
multi_turn_minus_direct,direct,multi_turn,both_non_length,mean_first_16_token_logprob,20,-0.1293557618,-0.1409990617,-0.0116433000,-0.0230793783,-0.0675039163,0.0464911793,0.7036059279,monte_carlo_sign_flip,83.0000000000,0.4304332733
multi_turn_minus_direct,direct,multi_turn,both_non_length,mean_first_32_token_logprob,20,-0.1444321425,-0.1812865468,-0.0368544043,-0.0247820750,-0.0865105964,0.0112517034,0.1662966741,monte_carlo_sign_flip,59.0000000000,0.0896949768
multi_turn_minus_direct,direct,multi_turn,both_non_length,mean_token_entropy,20,0.3456221037,0.3961950293,0.0505729256,0.0616096583,-0.0077683293,0.1137932327,0.1202375952,monte_carlo_sign_flip,74.0000000000,0.2610988617
multi_turn_minus_direct,direct,multi_turn,both_non_length,mean_top1_top2_probability_margin,20,0.7994897691,0.7860694961,-0.0134202730,-0.0284991294,-0.0408199771,0.0138751224,0.3594528109,monte_carlo_sign_flip,81.0000000000,0.3883762360
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,all,mean_token_logprob,20,-0.1815948640,-0.1881827261,-0.0065878621,-0.0007352309,-0.0243235873,0.0103479159,0.4833303334,monte_carlo_sign_flip,91.0000000000,0.6215133667
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,all,geometric_mean_token_probability,20,0.8361979894,0.8315385433,-0.0046594461,-0.0006239240,-0.0197390872,0.0091927109,0.5563088738,monte_carlo_sign_flip,92.0000000000,0.6476554871
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,all,perplexity,20,1.2025197007,1.2118550353,0.0093353345,0.0008663627,-0.0110098931,0.0312085598,0.4088918222,monte_carlo_sign_flip,89.0000000000,0.5705966949
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,all,mean_first_8_token_logprob,20,-0.1345569766,-0.1561930139,-0.0216360373,-0.0067797234,-0.0482518957,0.0022508937,0.1224375512,monte_carlo_sign_flip,78.0000000000,0.3299827576
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,all,mean_first_16_token_logprob,20,-0.1409990617,-0.1584468950,-0.0174478333,-0.0052421343,-0.0562153740,0.0121150138,0.4231515370,monte_carlo_sign_flip,98.0000000000,0.8123550415
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,all,mean_first_32_token_logprob,20,-0.1812865468,-0.1895731523,-0.0082866055,0.0019726533,-0.0395432057,0.0167294479,0.6535869283,monte_carlo_sign_flip,104.0000000000,0.9854354858
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,all,mean_token_entropy,20,0.3961950293,0.4102304657,0.0140354364,0.0072219396,-0.0192723139,0.0490627381,0.4412111758,monte_carlo_sign_flip,87.0000000000,0.5216732025
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,all,mean_top1_top2_probability_margin,20,0.7860694961,0.7790539145,-0.0070155815,-0.0029391649,-0.0285732812,0.0118756846,0.5283694326,monte_carlo_sign_flip,94.0000000000,0.7011814117
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,harmful,mean_token_logprob,10,-0.1703243297,-0.1687059364,0.0016183933,0.0055252550,-0.0228643427,0.0246250459,0.8945312500,exact_sign_flip,25.0000000000,0.8457031250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,harmful,geometric_mean_token_probability,10,0.8446277847,0.8472318136,0.0026040289,0.0048894184,-0.0168428363,0.0214937499,0.8066406250,exact_sign_flip,25.0000000000,0.8457031250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,harmful,perplexity,10,1.1874862935,1.1875575132,0.0000712196,-0.0062438415,-0.0293036822,0.0310296600,0.9960937500,exact_sign_flip,25.0000000000,0.8457031250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,harmful,mean_first_8_token_logprob,10,-0.1297861262,-0.1337574471,-0.0039713209,-0.0025900403,-0.0248190358,0.0160467728,0.7187500000,exact_sign_flip,25.0000000000,0.8457031250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,harmful,mean_first_16_token_logprob,10,-0.1363828644,-0.1317058860,0.0046769784,0.0032906688,-0.0235412448,0.0296360470,0.7617187500,exact_sign_flip,21.0000000000,0.5566406250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,harmful,mean_first_32_token_logprob,10,-0.1691734776,-0.1487719779,0.0204014996,0.0116603191,0.0040892558,0.0384809189,0.0664062500,exact_sign_flip,10.0000000000,0.0839843750
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,harmful,mean_token_entropy,10,0.3656157086,0.3610183138,-0.0045973949,-0.0075060369,-0.0472370364,0.0382553066,0.8476562500,exact_sign_flip,25.0000000000,0.8457031250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,harmful,mean_top1_top2_probability_margin,10,0.7917646917,0.7939082301,0.0021435384,0.0041145876,-0.0243645791,0.0283915680,0.8847656250,exact_sign_flip,25.0000000000,0.8457031250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,benign,mean_token_logprob,10,-0.1928653983,-0.2076595158,-0.0147941175,-0.0142106942,-0.0406988130,0.0073357562,0.2949218750,exact_sign_flip,17.0000000000,0.3222656250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,benign,geometric_mean_token_probability,10,0.8277681942,0.8158452731,-0.0119229211,-0.0119240745,-0.0342939520,0.0071188300,0.3496093750,exact_sign_flip,17.0000000000,0.3222656250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,benign,perplexity,10,1.2175531080,1.2361525574,0.0185994494,0.0170183564,-0.0080233778,0.0472667449,0.2617187500,exact_sign_flip,16.0000000000,0.2753906250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,benign,mean_first_8_token_logprob,10,-0.1393278270,-0.1786285806,-0.0393007536,-0.0121011838,-0.0853102268,0.0028024340,0.1582031250,exact_sign_flip,16.0000000000,0.2753906250
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,benign,mean_first_16_token_logprob,10,-0.1456152590,-0.1851879040,-0.0395726449,-0.0176800526,-0.1092670381,0.0102421263,0.2734375000,exact_sign_flip,18.0000000000,0.3750000000
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,benign,mean_first_32_token_logprob,10,-0.1933996160,-0.2303743267,-0.0369747107,-0.0302977260,-0.0904235714,0.0056466171,0.1777343750,exact_sign_flip,15.0000000000,0.2324218750
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,benign,mean_token_entropy,10,0.4267743500,0.4594426177,0.0326682677,0.0389451978,-0.0129827729,0.0832306926,0.2539062500,exact_sign_flip,16.0000000000,0.2753906250
